Operon	Start	Stop	Length	Orientation	Average operon coverage	Number of genes in operon	Genes in operon
MT1283-MT1288	1387286	1393647	6361	-	53.1	5	MT1283, MT1284, MT1286, MT1287, MT1288
MT1289	1393666	1395405	1739	+	13.0	1	MT1289
MT1290-MT1291	1395308	1399391	4083	-	27.4	2	MT1290, MT1291
MT1294(not expressed)	1402265	1402873	608	-	NOT EXPRESSED		
MT1292-MT1293	1399457	1402296	2839	+	21.5	2	MT1292, MT1293
MT1295(not expressed)	1402873	1404090	1217	-	NOT EXPRESSED		
MT1296-MT1297	1404204	1406827	2623	-	27.5	2	MT1296, MT1297
MT1297.1-MT1298	1406919	1408845	1926	+	20.2	2	MT1297.1, MT1298
MT1301	1409917	1411305	1388	+	11.0	1	MT1301
MT1302	1411380	1412573	1193	+	50.4	1	MT1302
MT1299-MT1300	1408970	1409894	924	-	76.6	2	MT1299, MT1300
MT1304	1413446	1415326	1880	-	30.8	1	MT1304
MT1305	1415667	1416833	1166	-	14.2	1	MT1305
MT1305.1(not expressed)	1416881	1417183	302	-	NOT EXPRESSED		
MT1303	1412746	1413426	680	+	172.2	1	MT1303
MT1306(not expressed)	1417144	1417842	698	-	NOT EXPRESSED		
MT1307-MT1308	1418065	1419234	1169	-	31.0	2	MT1307, MT1308
MT1309	1419447	1419794	347	-	15.9	1	MT1309
MT1310-MT1311	1419896	1423536	3640	-	7.8	2	MT1310, MT1311
MT1312-MT1312.1	1423668	1424779	1111	+	73.5	2	MT1312, MT1312.1
MT1313	1424924	1425430	506	-	11.5	1	MT1313
MT1314-MT1316	1425650	1431134	5484	+	73.3	3	MT1314, MT1315, MT1316
MT1321(not expressed)	1436602	1436748	146	+	NOT EXPRESSED		
MT1322-MT1324	1436810	1440237	3427	+	14.1	3	MT1322, MT1323, MT1324
MT1325	1440291	1440776	485	+	40.1	1	MT1325
MT1326(not expressed)	1440834	1442204	1370	+	NOT EXPRESSED		
MT1317-MT1320	1431151	1436603	5452	-	9.4	4	MT1317, MT1318, MT1319, MT1320
MT1327	1442253	1442885	632	+	173.5	1	MT1327
MT1329(not expressed)	1444546	1444914	368	+	NOT EXPRESSED		
MT1328	1443024	1444547	1523	-	14.4	1	MT1328
MT1330(not expressed)	1445041	1445136	95	-	NOT EXPRESSED		
MT1330.1(not expressed)	1445161	1445706	545	+	NOT EXPRESSED		
MT1331-MT1334	1445920	1451320	5400	+	54.9	4	MT1331, MT1332, MT1333, MT1334
MT1335-MT1341	1451538	1459050	7512	+	66.9	7	MT1335, MT1336, MT1337, MT1338, MT1339, MT1340, MT1341
MT1353(not expressed)	1467712	1469046	1334	-	NOT EXPRESSED		
MT1342-MT1352	1459212	1467672	8460	+	168.3	11	MT1342, MT1343, MT1344, MT1345, MT1346, MT1347, MT1348, MT1349, MT1350, MT1351, MT1352
MT1355	1469862	1471118	1256	+	39.3	1	MT1355
MT1354	1469212	1469793	581	-	37.0	1	MT1354
MT1357-MT1358	1476675	1478659	1984	-	13.6	2	MT1357, MT1358
MT1359(not expressed)	1478740	1480365	1625	-	NOT EXPRESSED		
MT1356	1473005	1473154	149	+	4123.6	1	MT1356
MT1360-MT1362	1480435	1485432	4997	-	28.1	3	MT1360, MT1361, MT1362
MT1363-MT1363.1	1485494	1486493	999	+	62.6	2	MT1363, MT1363.1
MT1364	1486528	1486986	458	-	1165.7	1	MT1364
MT1367(not expressed)	1489368	1490975	1607	-	NOT EXPRESSED		
MT1365-MT1366	1487077	1489290	2213	+	192.2	2	MT1365, MT1366
MT1367.1(not expressed)	1491118	1491234	116	+	NOT EXPRESSED		
MT1368-MT1369	1491331	1495747	4416	-	67.7	2	MT1368, MT1369
MT1370	1495778	1498369	2591	+	69.1	1	MT1370
MT1371-MT1372	1498409	1501773	3364	-	18.8	2	MT1371, MT1372
MT1373-MT1382	1501875	1509401	7526	+	47.8	11	MT1373, MT1374, MT1375, MT1376, MT1376.1, MT1377, MT1378, MT1379, MT1380, MT1381, MT1382
MT1385	1510182	1510502	320	+	37.4	1	MT1385
MT1383-MT1384	1509398	1510137	739	-	30.2	2	MT1383, MT1384
MT1389(not expressed)	1513188	1513820	632	-	NOT EXPRESSED		
MT1387-MT1388	1510664	1513221	2557	+	18.1	2	MT1387, MT1388
MT1390(not expressed)	1514262	1516841	2579	+	NOT EXPRESSED		
MT1392(not expressed)	1516838	1518577	1739	+	NOT EXPRESSED		
MT1396(not expressed)	1520415	1521200	785	-	NOT EXPRESSED		
MT1393-MT1395	1518706	1520349	1643	+	57.4	3	MT1393, MT1394, MT1395
MT1397(not expressed)	1521220	1523091	1871	-	NOT EXPRESSED		
MT1398(not expressed)	1523100	1525028	1928	-	NOT EXPRESSED		
MT1399(not expressed)	1525244	1526035	791	-	NOT EXPRESSED		
MT1400(not expressed)	1526508	1527431	923	-	NOT EXPRESSED		
MT1401(not expressed)	1527451	1527591	140	-	NOT EXPRESSED		
MT1402(not expressed)	1527827	1531306	3479	+	NOT EXPRESSED		
MT1403(not expressed)	1531379	1532140	761	+	NOT EXPRESSED		
MT1404	1532188	1532424	236	-	14.3	1	MT1404
MT1406	1533658	1534848	1190	-	88.4	1	MT1406
MT1407-MT1409	1535163	1536608	1445	-	18.2	3	MT1407, MT1408, MT1409
MT1405	1532563	1533585	1022	+	45.5	1	MT1405
MT1410-MT1411	1536899	1539385	2486	-	26.0	2	MT1410, MT1411
MT1412-MT1413	1539606	1540656	1050	+	22.1	2	MT1412, MT1413
MT1414.1-MT1415	1542039	1543021	982	+	41.9	2	MT1414.1, MT1415
MT1416(not expressed)	1543061	1544686	1625	+	NOT EXPRESSED		
MT1414	1540728	1541933	1205	-	13.4	1	MT1414
MT1417-MT1418	1544683	1546850	2167	+	44.5	2	MT1417, MT1418
MT1419	1547690	1549009	1319	+	23.4	1	MT1419
MT1420(not expressed)	1549006	1550499	1493	+	NOT EXPRESSED		
MT1418.1	1546930	1547388	458	-	13.1	1	MT1418.1
MT1423-MT1428	1552512	1560306	7794	+	13.5	6	MT1423, MT1424, MT1425, MT1426, MT1427, MT1428
MT1429(not expressed)	1560303	1561127	824	+	NOT EXPRESSED		
MT1421-MT1422	1550437	1552513	2076	-	44.5	2	MT1421, MT1422
MT1432(not expressed)	1563301	1563552	251	-	NOT EXPRESSED		
MT1430-MT1431	1561322	1563246	1924	+	35.4	2	MT1430, MT1431
MT1433-MT1437	1563789	1567894	4105	+	123.2	5	MT1433, MT1434, MT1435, MT1436, MT1437
MT1438-MT1439	1567967	1570827	2860	-	22.2	2	MT1438, MT1439
MT1441-MT1442	1573969	1574636	667	-	871.8	2	MT1441, MT1442
MT1440	1570905	1571939	1034	+	20.7	1	MT1440
MT1445	1576604	1577389	785	+	14.9	1	MT1445
MT1446(not expressed)	1577470	1579434	1964	+	NOT EXPRESSED		
MT1443-MT1444	1574707	1576653	1946	-	25.7	2	MT1443, MT1444
MT1447(not expressed)	1579452	1580276	824	-	NOT EXPRESSED		
MT1448	1580400	1580927	527	+	155.8	1	MT1448
MT1449	1580999	1581823	824	-	16.7	1	MT1449
MT1450-MT1453	1582020	1586067	4047	+	39.6	4	MT1450, MT1451, MT1452, MT1453
MT1456	1588421	1589026	605	+	14.1	1	MT1456
MT1457(not expressed)	1589376	1590146	770	+	NOT EXPRESSED		
MT1454-MT1455	1586064	1588345	2281	-	277.2	2	MT1454, MT1455
MT1458-MT1466	1590251	1598737	8486	+	22.7	9	MT1458, MT1459, MT1460, MT1461, MT1462, MT1463, MT1464, MT1465, MT1466
MT1467	1598747	1599091	344	-	35.1	1	MT1467
MT1468	1599074	1600891	1817	+	37.3	1	MT1468
MT1472-MT1474	1604733	1607828	3095	+	244.9	2	MT1472, MT1474
MT1475	1607939	1609708	1769	+	21.8	1	MT1475
MT1476(not expressed)	1609705	1611126	1421	+	NOT EXPRESSED		
MT1477	1611290	1612105	815	+	41.0	1	MT1477
MT1478(not expressed)	1612112	1612255	143	+	NOT EXPRESSED		
MT1469-MT1471	1600761	1604614	3853	-	39.7	3	MT1469, MT1470, MT1471
MT1479.1	1612811	1613026	215	+	14.0	1	MT1479.1
MT1479	1612204	1612866	662	-	251.3	1	MT1479
MT1484(not expressed)	1616844	1617269	425	-	NOT EXPRESSED		
MT1480-MT1482	1613190	1616232	3042	+	110.8	3	MT1480, MT1481, MT1482
MT1485	1617720	1617953	233	+	71.2	1	MT1485
MT1487	1619673	1621973	2300	+	34.3	1	MT1487
MT1490(not expressed)	1622638	1622889	251	+	NOT EXPRESSED		
MT1488-MT1489	1621970	1622574	604	-	29.2	2	MT1488, MT1489
MT1491-MT1496	1623169	1630156	6987	-	136.4	6	MT1491, MT1492, MT1493, MT1494, MT1495, MT1496
MT1497.1(not expressed)	1630519	1634745	4226	-	NOT EXPRESSED		
MT1497.2(not expressed)	1634936	1635094	158	-	NOT EXPRESSED		
MT1499(not expressed)	1636119	1638335	2216	-	NOT EXPRESSED		
MT1498	1635144	1636070	926	+	86.8	1	MT1498
MT1500(not expressed)	1638451	1639749	1298	+	NOT EXPRESSED		
MT1502(not expressed)	1640744	1641646	902	+	NOT EXPRESSED		
MT1501	1639777	1640784	1007	-	43.3	1	MT1501
MT1503	1641596	1642531	935	-	18.8	1	MT1503
MT1504-MT1506	1642640	1646294	3654	-	22.7	3	MT1504, MT1505, MT1506
MT1507-MT1513	1646312	1653734	7422	+	91.7	7	MT1507, MT1508, MT1509, MT1510, MT1511, MT1512, MT1513
MT1515-MT1517	1657119	1659897	2778	+	36.7	3	MT1515, MT1516, MT1517
MT1518-MT1519	1659919	1662440	2521	+	114.3	2	MT1518, MT1519
MT1520(not expressed)	1662537	1662728	191	+	NOT EXPRESSED		
MT1514-MT1514.1	1653829	1656892	3063	-	26.9	2	MT1514, MT1514.1
MT1521-MT1522	1662797	1666202	3405	-	102.5	2	MT1521, MT1522
MT1529(not expressed)	1672613	1673491	878	-	NOT EXPRESSED		
MT1523-MT1528	1666360	1672540	6180	+	104.7	6	MT1523, MT1524, MT1525, MT1526, MT1527, MT1528
MT1530-MT1532	1673596	1676207	2611	+	62.7	3	MT1530, MT1531, MT1532
MT1533.1-MT1535	1677097	1679328	2231	+	65.1	4	MT1533.1, MT1533.2, MT1534, MT1535
MT1536(not expressed)	1679478	1680785	1307	+	NOT EXPRESSED		
MT1533	1676173	1677039	866	-	137.2	1	MT1533
MT1537	1680883	1681146	263	+	27.1	1	MT1537
MT1538	1681364	1682122	758	-	76.7	1	MT1538
MT1539-MT1545	1682313	1689386	7073	+	110.0	6	MT1539, MT1540, MT1541, MT1542, MT1543, MT1545
MT1548(not expressed)	1690491	1690961	470	+	NOT EXPRESSED		
MT1549-MT1551	1691006	1693979	2973	+	72.0	3	MT1549, MT1550, MT1551
MT1555.1(not expressed)	1697512	1698015	503	+	NOT EXPRESSED		
MT1546-MT1556	1689459	1700050	10591	-	43.0	6	MT1546, MT1547, MT1553, MT1554, MT1555, MT1556
MT1556.1(not expressed)	1700224	1700364	140	-	NOT EXPRESSED		
MT1557-MT1558	1700368	1701969	1601	+	20.8	2	MT1557, MT1558
MT1560(not expressed)	1701978	1702748	770	+	NOT EXPRESSED		
MT1560.1(not expressed)	1702752	1703171	419	+	NOT EXPRESSED		
MT1561-MT1563	1703205	1705944	2739	+	30.4	3	MT1561, MT1562, MT1563
MT1567(not expressed)	1709026	1709790	764	+	NOT EXPRESSED		
MT1564-MT1566	1705962	1708805	2843	-	13.4	3	MT1564, MT1565, MT1566
MT1568(not expressed)	1709799	1710758	959	+	NOT EXPRESSED		
MT1569(not expressed)	1710888	1711157	269	+	NOT EXPRESSED		
MT1571(not expressed)	1712212	1712412	200	-	NOT EXPRESSED		
MT1570	1711150	1712223	1073	+	29.7	1	MT1570
MT1572	1712457	1714208	1751	+	97.7	1	MT1572
MT1574-MT1575	1717898	1720125	2227	+	25.0	2	MT1574, MT1575
MT1573	1714327	1717767	3440	-	36.8	1	MT1573
MT1576	1720172	1720957	785	+	20.6	1	MT1576
MT1578.1(not expressed)	1728784	1728915	131	+	NOT EXPRESSED		
MT1577	1720935	1722215	1280	-	12.6	1	MT1577
MT1579(not expressed)	1729107	1729604	497	-	NOT EXPRESSED		
MT1580	1729656	1731410	1754	+	13.7	1	MT1580
MT1581(not expressed)	1731527	1732630	1103	+	NOT EXPRESSED		
MT1582-MT1585	1732627	1735564	2937	+	25.6	2	MT1582, MT1585
MT1585.1-MT1586	1735761	1736365	604	+	124.6	2	MT1585.1, MT1586
MT1587	1736672	1739797	3125	+	33.5	1	MT1587
MT1589(not expressed)	1739943	1741400	1457	+	NOT EXPRESSED		
MT1583	1733270	1733704	434	-	12.7	1	MT1583
MT1590	1741365	1742345	980	-	35.0	1	MT1590
MT1593	1743931	1744524	593	-	18.0	1	MT1593
MT1594(not expressed)	1744579	1744989	410	-	NOT EXPRESSED		
MT1591-MT1596.1	1742397	1747299	4902	+	80.3	5	MT1591, MT1592, MT1595, MT1596, MT1596.1
MT1599(not expressed)	1751450	1753732	2282	-	NOT EXPRESSED		
MT1597-MT1598	1747348	1751401	4053	+	45.4	2	MT1597, MT1598
MT1600	1753870	1755585	1715	+	16.9	1	MT1600
MT1601(not expressed)	1755671	1757464	1793	+	NOT EXPRESSED		
MT1602(not expressed)	1757562	1757849	287	-	NOT EXPRESSED		
MT1603(not expressed)	1757835	1759586	1751	+	NOT EXPRESSED		
MT1604(not expressed)	1759589	1760332	743	+	NOT EXPRESSED		
MT1605(not expressed)	1760329	1760709	380	+	NOT EXPRESSED		
MT1606(not expressed)	1760706	1761083	377	+	NOT EXPRESSED		
MT1607	1761151	1761759	608	+	11.7	1	MT1607
MT1608	1761898	1763091	1193	+	11.8	1	MT1608
MT1609-MT1610	1763101	1764871	1770	+	54.9	2	MT1609, MT1610
MT1611-MT1612	1764909	1765537	628	+	64.8	2	MT1611, MT1612
MT1613-MT1618	1765554	1775298	9744	-	58.7	6	MT1613, MT1614, MT1615, MT1616, MT1617, MT1618
MT1622.1(not expressed)	1779348	1780070	722	-	NOT EXPRESSED		
MT1619-MT1622	1775546	1779202	3656	+	8.7	4	MT1619, MT1620, MT1621, MT1622
MT1623	1780075	1780743	668	-	35.6	1	MT1623
MT1624-MT1626	1781191	1783142	1951	+	58.9	3	MT1624, MT1625, MT1626
MT1627-MT1629	1783197	1785437	2240	-	135.0	3	MT1627, MT1628, MT1629
MT1630-MT1633	1785663	1789959	4296	+	123.4	4	MT1630, MT1631, MT1632, MT1633
MT1634	1789980	1790390	410	-	115.2	1	MT1634
MT1635-MT1642	1790463	1798170	7707	+	36.9	9	MT1635, MT1636, MT1637, MT1638, MT1639, MT1640, MT1641, MT1641.1, MT1642
MT1643	1798205	1798669	464	-	127.1	1	MT1643
MT1650(not expressed)	1805435	1805590	155	-	NOT EXPRESSED		
MT1644-MT1649	1798810	1805484	6674	+	93.5	6	MT1644, MT1645, MT1646, MT1647, MT1648, MT1649
MT1650.1(not expressed)	1805652	1805945	293	-	NOT EXPRESSED		
MT1656-MT1657	1810870	1814180	3310	-	27.5	2	MT1656, MT1657
MT1658-MT1659	1814267	1816794	2527	-	187.8	2	MT1658, MT1659
MT1651-MT1655	1806160	1810936	4776	+	53.9	5	MT1651, MT1652, MT1653, MT1654, MT1655
MT1660-MT1661	1816905	1818852	1947	-	55.3	2	MT1660, MT1661
MT1662	1819078	1819704	626	+	497.8	1	MT1662
MT1663-MT1664	1819772	1821468	1696	-	48.4	2	MT1663, MT1664
MT1665-MT1667	1821572	1827143	5571	+	157.5	3	MT1665, MT1666, MT1667
MT1668	1827294	1827737	443	-	32.5	1	MT1668
MT1669-MT1670	1827859	1831490	3631	+	30.5	2	MT1669, MT1670
MT1671	1831479	1833176	1697	-	33.7	1	MT1671
MT1672	1833358	1833798	440	+	167.2	1	MT1672
MT1673	1833805	1834599	794	-	23.8	1	MT1673
MT1676-MT1677	1837623	1839365	1742	-	41.7	2	MT1676, MT1677
MT1678(not expressed)	1839424	1842981	3557	-	NOT EXPRESSED		
MT1675	1834624	1837566	2942	+	50.9	1	MT1675
MT1679-MT1682	1843231	1845295	2064	+	161.7	4	MT1679, MT1680, MT1681, MT1682
MT1683	1845306	1846361	1055	-	83.0	1	MT1683
MT1684-MT1688	1846671	1853160	6489	+	20.6	5	MT1684, MT1685, MT1686, MT1687, MT1688
MT1690-MT1698	1856483	1866127	9644	+	30.9	9	MT1690, MT1691, MT1692, MT1693, MT1694, MT1695, MT1696, MT1697, MT1698
MT1701(not expressed)	1866210	1872590	6380	+	NOT EXPRESSED		
MT1689	1853254	1856289	3035	-	14.1	1	MT1689
MT1702(not expressed)	1872610	1877418	4808	+	NOT EXPRESSED		
MT1703(not expressed)	1877418	1878926	1508	+	NOT EXPRESSED		
MT1704(not expressed)	1878932	1881985	3053	+	NOT EXPRESSED		
MT1705	1882132	1883193	1061	+	23.4	1	MT1705
MT1707.1(not expressed)	1886737	1886889	152	+	NOT EXPRESSED		
MT1708	1886922	1887269	347	+	25.2	1	MT1708
MT1709(not expressed)	1887211	1887669	458	+	NOT EXPRESSED		
MT1706-MT1707	1883176	1886258	3082	-	15.8	2	MT1706, MT1707
MT1710	1887678	1889009	1331	-	16.3	1	MT1710
MT1711(not expressed)	1889102	1890034	932	-	NOT EXPRESSED		
MT1712(not expressed)	1890062	1890718	656	-	NOT EXPRESSED		
MT1713(not expressed)	1890717	1891049	332	+	NOT EXPRESSED		
MT1714(not expressed)	1891043	1891777	734	-	NOT EXPRESSED		
MT1715-MT1721	1891978	1897044	5066	+	22.8	7	MT1715, MT1716, MT1717, MT1718, MT1719, MT1720, MT1721
MT1722(not expressed)	1897274	1898122	848	+	NOT EXPRESSED		
MT1725	1901578	1902201	623	-	12.4	1	MT1725
MT1723-MT1724	1898324	1901612	3288	+	29.3	2	MT1723, MT1724
MT1727.1(not expressed)	1903781	1904392	611	+	NOT EXPRESSED		
MT1728-MT1735	1904404	1912248	7844	+	37.5	8	MT1728, MT1729, MT1730, MT1731, MT1732, MT1733, MT1734, MT1735
MT1736-MT1737	1912344	1914491	2147	+	187.6	2	MT1736, MT1737
MT1726-MT1727	1902203	1903722	1519	-	28.6	2	MT1726, MT1727
MT1738-MT1740	1914631	1917939	3308	+	33.6	3	MT1738, MT1739, MT1740
MT1742(not expressed)	1919658	1919873	215	+	NOT EXPRESSED		
MT1741	1918013	1919377	1364	-	21.6	1	MT1741
MT1743-MT1744	1919933	1922258	2325	-	86.1	2	MT1743, MT1744
MT1745(not expressed)	1922299	1923456	1157	-	NOT EXPRESSED		
MT1746(not expressed)	1923496	1924680	1184	-	NOT EXPRESSED		
MT1746.1(not expressed)	1925135	1925299	164	+	NOT EXPRESSED		
MT1747(not expressed)	1925284	1925487	203	-	NOT EXPRESSED		
MT1748-MT1753	1925684	1932481	6797	+	19.0	7	MT1748, MT1749, MT1750, MT1751, MT1751.1, MT1752, MT1753
MT1753.1(not expressed)	1932655	1933467	812	+	NOT EXPRESSED		
MT1754(not expressed)	1933461	1934375	914	+	NOT EXPRESSED		
MT1755(not expressed)	1934378	1935208	830	+	NOT EXPRESSED		
MT1756(not expressed)	1935208	1935558	350	+	NOT EXPRESSED		
MT1757(not expressed)	1935413	1936573	1160	-	NOT EXPRESSED		
MT1758(not expressed)	1936443	1937222	779	+	NOT EXPRESSED		
MT1759(not expressed)	1937219	1937326	107	+	NOT EXPRESSED		
MT1760(not expressed)	1937662	1937784	122	+	NOT EXPRESSED		
MT1761(not expressed)	1937832	1938221	389	-	NOT EXPRESSED		
MT1763	1938663	1940147	1484	+	19.5	1	MT1763
MT1764(not expressed)	1940144	1941391	1247	+	NOT EXPRESSED		
MT1762	1938218	1938445	227	-	34.1	1	MT1762
MT1765(not expressed)	1941434	1941853	419	-	NOT EXPRESSED		
MT1767(not expressed)	1942653	1944038	1385	+	NOT EXPRESSED		
MT1766	1941843	1942406	563	-	14.8	1	MT1766
MT1768(not expressed)	1944071	1944640	569	+	NOT EXPRESSED		
MT1769-MT1770	1944665	1946370	1705	-	25.8	2	MT1769, MT1770
MT1771.1(not expressed)	1948124	1948243	119	+	NOT EXPRESSED		
MT1771	1946550	1948169	1619	-	37.7	1	MT1771
MT1773	1950101	1950649	548	-	66.3	1	MT1773
MT1774(not expressed)	1950713	1951309	596	-	NOT EXPRESSED		
MT1772	1948535	1950091	1556	+	88.6	1	MT1772
MT1776(not expressed)	1952149	1952742	593	-	NOT EXPRESSED		
MT1775	1951539	1951895	356	+	453.1	1	MT1775
MT1777(not expressed)	1952745	1952987	242	-	NOT EXPRESSED		
MT1778-MT1779	1953086	1956228	3142	-	8.5	2	MT1778, MT1779
MT1781(not expressed)	1956813	1958495	1682	-	NOT EXPRESSED		
MT1780	1956338	1956799	461	+	257.6	1	MT1780
MT1782-MT1783	1958563	1959023	460	+	49.8	2	MT1782, MT1783
MT1784	1959031	1959768	737	+	15.7	1	MT1784
MT1786(not expressed)	1961847	1962308	461	-	NOT EXPRESSED		
MT1785	1959862	1961562	1700	+	64.2	1	MT1785
MT1787(not expressed)	1962238	1962849	611	-	NOT EXPRESSED		
MT1788-MT1789	1962996	1967085	4089	+	41.9	2	MT1788, MT1789
MT1790(not expressed)	1967282	1967377	95	+	NOT EXPRESSED		
MT1791(not expressed)	1967458	1968189	731	+	NOT EXPRESSED		
MT1792	1968186	1968743	557	-	69.4	1	MT1792
MT1793	1968827	1970425	1598	-	20.1	1	MT1793
MT1796(not expressed)	1972472	1975789	3317	-	NOT EXPRESSED		
MT1794-MT1795	1970623	1972437	1814	+	52.8	2	MT1794, MT1795
MT1798(not expressed)	1977722	1977871	149	+	NOT EXPRESSED		
MT1797	1975993	1977684	1691	-	30.2	1	MT1797
MT1799(not expressed)	1977868	1979412	1544	-	NOT EXPRESSED		
MT1800(not expressed)	1979541	1980686	1145	-	NOT EXPRESSED		
MT1801(not expressed)	1980876	1982015	1139	+	NOT EXPRESSED		
MT1803(not expressed)	1985567	1986451	884	-	NOT EXPRESSED		
MT1802	1982216	1985053	2837	+	55.8	1	MT1802
MT1805(not expressed)	1986864	1987388	524	+	NOT EXPRESSED		
MT1808	1990560	1990793	233	+	10.1	1	MT1808
MT1804	1986502	1986828	326	-	14.0	1	MT1804
MT1810-MT1811	1992492	1993663	1171	-	17.7	2	MT1810, MT1811
MT1812	1993803	1994270	467	-	11.1	1	MT1812
MT1813(not expressed)	1994368	1994520	152	-	NOT EXPRESSED		
MT1809	1990887	1992482	1595	+	16.6	1	MT1809
MT1816-MT1817	1997159	1997855	696	+	48.0	2	MT1816, MT1817
MT1814	1994681	1995937	1256	-	45.5	1	MT1814
MT1820-MT1821	2000088	2003867	3779	+	43.9	3	MT1820, MT1820.1, MT1821
MT1821.1-MT1823	2004062	2005219	1157	-	21.6	3	MT1821.1, MT1822, MT1823
MT1826(not expressed)	2007415	2007975	560	-	NOT EXPRESSED		
MT1824-MT1825	2005252	2007410	2158	+	46.2	2	MT1824, MT1825
MT1827(not expressed)	2008076	2009380	1304	+	NOT EXPRESSED		
MT1828-MT1829	2009501	2011899	2398	-	30.0	2	MT1828, MT1829
MT1831(not expressed)	2012722	2014896	2174	-	NOT EXPRESSED		
MT1830	2012119	2012682	563	+	62.3	1	MT1830
MT1832-MT1833	2015160	2020852	5692	+	70.9	2	MT1832, MT1833
MT1835	2022248	2022451	203	+	25.6	1	MT1835
MT1836-MT1838	2022601	2025391	2790	+	33.0	3	MT1836, MT1837, MT1838
MT1838.1(not expressed)	2025431	2025733	302	+	NOT EXPRESSED		
MT1834	2020867	2022147	1280	-	13.1	1	MT1834
MT1839(not expressed)	2025806	2026897	1091	+	NOT EXPRESSED		
MT1839.1(not expressed)	2026843	2027010	167	-	NOT EXPRESSED		
MT1849.1(not expressed)	2038791	2039177	386	-	NOT EXPRESSED		
MT1840-MT1849	2027306	2038840	11534	+	80.4	9	MT1840, MT1842, MT1843, MT1844, MT1845, MT1846, MT1847, MT1848, MT1849
MT1850(not expressed)	2039421	2040692	1271	+	NOT EXPRESSED		
MT1851(not expressed)	2040804	2042195	1391	+	NOT EXPRESSED		
MT1853(not expressed)	2042343	2044295	1952	-	NOT EXPRESSED		
MT1854	2044443	2044811	368	-	14.1	1	MT1854
MT1854.1(not expressed)	2045107	2045529	422	-	NOT EXPRESSED		
MT1855(not expressed)	2045492	2045791	299	+	NOT EXPRESSED		
MT1856(not expressed)	2045806	2047017	1211	+	NOT EXPRESSED		
MT1856.1-MT1859	2047410	2051567	4157	+	97.3	4	MT1856.1, MT1857, MT1858, MT1859
MT1860-MT1861	2051577	2053532	1955	-	38.2	2	MT1860, MT1861
MT1862-MT1865	2053899	2058415	4516	+	48.1	4	MT1862, MT1863, MT1864, MT1865
MT1868-MT1874	2062136	2069693	7557	+	100.1	7	MT1868, MT1869, MT1870, MT1871, MT1872, MT1873, MT1874
MT1875-MT1877	2069933	2071774	1841	+	185.0	3	MT1875, MT1876, MT1877
MT1866-MT1867	2058596	2062065	3469	-	19.4	2	MT1866, MT1867
MT1879-MT1880	2072066	2075927	3861	+	143.6	2	MT1879, MT1880
MT1882(not expressed)	2077055	2077921	866	+	NOT EXPRESSED		
MT1881	2076154	2077014	860	-	23.0	1	MT1881
MT1884-MT1885	2079829	2084207	4378	-	188.6	2	MT1884, MT1885
MT1886-MT1887	2084483	2085138	655	-	24.1	2	MT1886, MT1887
MT1888(not expressed)	2085197	2086744	1547	-	NOT EXPRESSED		
MT1895	2094097	2094519	422	+	25.8	1	MT1895
MT1896-MT1898	2094568	2096914	2346	+	7.0	3	MT1896, MT1897, MT1898
MT1899(not expressed)	2096914	2097549	635	+	NOT EXPRESSED		
MT1889-MT1894	2086907	2093819	6912	-	403.8	6	MT1889, MT1890, MT1891, MT1892, MT1893, MT1894
MT1902-MT1903	2098871	2101327	2456	-	143.1	2	MT1902, MT1903
MT1900-MT1901	2097560	2098868	1308	+	11.9	2	MT1900, MT1901
MT1905	2102205	2102990	785	+	13.5	1	MT1905
MT1906(not expressed)	2103050	2103787	737	+	NOT EXPRESSED		
MT1907	2103794	2104903	1109	+	50.7	1	MT1907
MT1904	2101366	2102043	677	-	21.7	1	MT1904
MT1908	2104956	2105933	977	+	26.8	1	MT1908
MT1909	2106168	2106284	116	-	12.6	1	MT1909
MT1912-MT1913	2107812	2109276	1464	-	32.9	2	MT1912, MT1913
MT1910-MT1911	2106385	2107805	1420	+	32.5	2	MT1910, MT1911
MT1915(not expressed)	2110283	2112697	2414	+	NOT EXPRESSED		
MT1914	2109327	2110187	860	-	15.7	1	MT1914
MT1916(not expressed)	2112832	2114514	1682	-	NOT EXPRESSED		
MT1917	2114568	2116667	2099	+	18.1	1	MT1917
MT1922	2120362	2120832	470	+	78.8	1	MT1922
MT1918-MT1921	2116681	2120372	3691	-	437.2	4	MT1918, MT1919, MT1920, MT1921
MT1923-MT1926	2120887	2125188	4301	+	57.9	4	MT1923, MT1924, MT1925, MT1926
MT1927	2125243	2126595	1352	+	10.6	1	MT1927
MT1928(not expressed)	2126598	2127734	1136	+	NOT EXPRESSED		
MT1924.1	2122051	2122269	218	-	37.9	1	MT1924.1
MT1929-MT1934	2127762	2133250	5488	-	286.4	7	MT1929, MT1930, MT1931, MT1931.1, MT1932, MT1933, MT1934
MT1936	2134606	2135571	965	-	67.9	1	MT1936
MT1937	2135907	2136263	356	-	13.1	1	MT1937
MT1940(not expressed)	2136322	2136933	611	-	NOT EXPRESSED		
MT1935	2133479	2134636	1157	+	184.6	1	MT1935
MT1941-MT1943	2136987	2137950	963	+	252.5	3	MT1941, MT1942, MT1943
MT1945(not expressed)	2139188	2139619	431	+	NOT EXPRESSED		
MT1944	2137985	2139115	1130	-	75.3	1	MT1944
MT1947	2140781	2141692	911	-	22.9	1	MT1947
MT1948(not expressed)	2141697	2142182	485	-	NOT EXPRESSED		
