Strain,Gene,No_of_mutations
TKK_03_0114.annotated.vcf,RVBD_0094c,145
TKK_03_0114.annotated.vcf,RVBD_0747,132
TKK_03_0114.annotated.vcf,RVBD_3345c,101
TKK_03_0114.annotated.vcf,RVBD_3512,91
TKK_03_0114.annotated.vcf,RVBD_1068c,78
TKK_03_0114.annotated.vcf,RVBD_0355c,58
TKK_03_0114.annotated.vcf,RVBD_2543,52
TKK_03_0114.annotated.vcf,RVBD_3507,37
TKK_03_0114.annotated.vcf,RVBD_1243c,32
TKK_03_0114.annotated.vcf,RVBD_3344c,32
TKK_03_0114.annotated.vcf,RVBD_1452c,28
TKK_03_0114.annotated.vcf,RVBD_1087,28
TKK_03_0114.annotated.vcf,RVBD_0442c,27
TKK_03_0114.annotated.vcf,RVBD_2741,25
TKK_03_0114.annotated.vcf,RVBD_3428c,22
TKK_03_0115.annotated.vcf,RVBD_1764,885
TKK_03_0115.annotated.vcf,RVBD_3475,885
TKK_03_0115.annotated.vcf,RVBD_2479c,885
TKK_03_0115.annotated.vcf,RVBD_3380c,885
TKK_03_0115.annotated.vcf,RVBD_0796,885
TKK_03_0115.annotated.vcf,RVBD_2649,881
TKK_03_0115.annotated.vcf,RVBD_3508,519
TKK_03_0115.annotated.vcf,RVBD_3611,364
TKK_03_0115.annotated.vcf,RVBD_2480c,327
TKK_03_0115.annotated.vcf,RVBD_0795,327
TKK_03_0115.annotated.vcf,RVBD_3474,327
TKK_03_0115.annotated.vcf,RVBD_3381c,327
TKK_03_0115.annotated.vcf,RVBD_2648,327
TKK_03_0115.annotated.vcf,RVBD_1763,326
TKK_03_0115.annotated.vcf,RVBD_1753c,271
TKK_03_0115.annotated.vcf,RVBD_1755c,219
TKK_03_0115.annotated.vcf,RVBD_3514,218
TKK_03_0115.annotated.vcf,RVBD_1450c,190
TKK_03_0115.annotated.vcf,RVBD_3511,168
TKK_03_0115.annotated.vcf,RVBD_0278c,145
TKK_03_0115.annotated.vcf,RVBD_0355c,129
TKK_03_0115.annotated.vcf,RVBD_2048c,120
TKK_03_0115.annotated.vcf,RVBD_3343c,119
TKK_03_0115.annotated.vcf,RVBD_0978c,110
TKK_03_0115.annotated.vcf,RVBD_1787,83
TKK_03_0115.annotated.vcf,RVBD_1091,46
TKK_03_0115.annotated.vcf,RVBD_1441c,35
TKK_03_0115.annotated.vcf,RVBD_2660c,28
TKK_03_0115.annotated.vcf,RVBD_1087,27
TKK_03_0115.annotated.vcf,RVBD_1758,25
TKK_03_0118.annotated.vcf,RVBD_3514,1063
TKK_03_0118.annotated.vcf,RVBD_2479c,885
TKK_03_0118.annotated.vcf,RVBD_2814c,885
TKK_03_0118.annotated.vcf,RVBD_3380c,885
TKK_03_0118.annotated.vcf,RVBD_2279,885
TKK_03_0118.annotated.vcf,RVBD_3508,522
TKK_03_0118.annotated.vcf,RVBD_3511,485
TKK_03_0118.annotated.vcf,RVBD_1450c,417
TKK_03_0118.annotated.vcf,RVBD_3611,365
TKK_03_0118.annotated.vcf,RVBD_2480c,327
TKK_03_0118.annotated.vcf,RVBD_2278,327
TKK_03_0118.annotated.vcf,RVBD_2815c,326
TKK_03_0118.annotated.vcf,RVBD_3381c,324
TKK_03_0118.annotated.vcf,RVBD_1917c,318
TKK_03_0118.annotated.vcf,RVBD_2544,268
TKK_03_0118.annotated.vcf,RVBD_1730c,221
TKK_03_0118.annotated.vcf,RVBD_1753c,178
TKK_03_0118.annotated.vcf,RVBD_1135c,160
TKK_03_0118.annotated.vcf,RVBD_0747,160
TKK_03_0118.annotated.vcf,RVBD_0278c,119
TKK_03_0118.annotated.vcf,RVBD_0978c,113
TKK_03_0118.annotated.vcf,RVBD_3345c,102
TKK_03_0118.annotated.vcf,RVBD_3512,92
TKK_03_0118.annotated.vcf,RVBD_1068c,79
TKK_03_0118.annotated.vcf,RVBD_0355c,56
TKK_03_0118.annotated.vcf,RVBD_3344c,50
TKK_03_0118.annotated.vcf,RVBD_3507,49
TKK_03_0118.annotated.vcf,RVBD_2543,48
TKK_03_0118.annotated.vcf,RVBD_1087,48
TKK_03_0118.annotated.vcf,RVBD_0833,44
TKK_03_0149.annotated.vcf,RVBD_3475,885
TKK_03_0149.annotated.vcf,RVBD_2479c,885
TKK_03_0149.annotated.vcf,RVBD_2814c,885
TKK_03_0149.annotated.vcf,RVBD_3380c,885
TKK_03_0149.annotated.vcf,RVBD_0796,885
TKK_03_0149.annotated.vcf,RVBD_2167c,885
TKK_03_0149.annotated.vcf,RVBD_2279,885
TKK_03_0149.annotated.vcf,RVBD_2649,885
TKK_03_0149.annotated.vcf,RVBD_3326,876
TKK_03_0149.annotated.vcf,RVBD_1452c,562
TKK_03_0149.annotated.vcf,RVBD_3511,476
TKK_03_0149.annotated.vcf,RVBD_2544,412
TKK_03_0149.annotated.vcf,RVBD_2480c,327
TKK_03_0149.annotated.vcf,RVBD_2278,327
TKK_03_0149.annotated.vcf,RVBD_3325,327
TKK_03_0149.annotated.vcf,RVBD_3381c,327
TKK_03_0149.annotated.vcf,RVBD_0795,327
TKK_03_0149.annotated.vcf,RVBD_3474,327
TKK_03_0149.annotated.vcf,RVBD_2168c,327
TKK_03_0149.annotated.vcf,RVBD_2648,327
TKK_03_0149.annotated.vcf,RVBD_2815c,326
TKK_03_0149.annotated.vcf,RVBD_1450c,298
TKK_03_0149.annotated.vcf,RVBD_2543,295
TKK_03_0149.annotated.vcf,RVBD_1730c,225
TKK_03_0149.annotated.vcf,RVBD_1765c,217
TKK_03_0149.annotated.vcf,RVBD_1753c,214
TKK_03_0149.annotated.vcf,RVBD_1135c,160
TKK_03_0149.annotated.vcf,RVBD_0747,160
TKK_03_0149.annotated.vcf,RVBD_3514,153
TKK_03_0149.annotated.vcf,RVBD_0090,134
TKK_03_0150.annotated.vcf,RVBD_3508,1293
TKK_03_0150.annotated.vcf,RVBD_3343c,644
TKK_03_0150.annotated.vcf,RVBD_1917c,518
TKK_03_0150.annotated.vcf,RVBD_3187,463
TKK_03_0150.annotated.vcf,RVBD_2106,451
TKK_03_0150.annotated.vcf,RVBD_3185,407
TKK_03_0150.annotated.vcf,RVBD_1790,402
TKK_03_0150.annotated.vcf,RVBD_3326,367
TKK_03_0150.annotated.vcf,RVBD_3475,341
TKK_03_0150.annotated.vcf,RVBD_3186,325
TKK_03_0150.annotated.vcf,RVBD_2279,295
TKK_03_0150.annotated.vcf,RVBD_3507,291
TKK_03_0150.annotated.vcf,RVBD_3327,288
TKK_03_0150.annotated.vcf,RVBD_1452c,276
TKK_03_0150.annotated.vcf,RVBD_3511,266
TKK_03_0150.annotated.vcf,RVBD_0796,208
TKK_03_0150.annotated.vcf,RVBD_1753c,207
TKK_03_0150.annotated.vcf,RVBD_1765c,186
TKK_03_0150.annotated.vcf,RVBD_2355,181
TKK_03_0150.annotated.vcf,RVBD_1764,170
TKK_03_0150.annotated.vcf,RVBD_2167c,152
TKK_03_0150.annotated.vcf,RVBD_3512,149
TKK_03_0150.annotated.vcf,RVBD_2082,142
TKK_03_0150.annotated.vcf,RVBD_1369c,117
TKK_03_0150.annotated.vcf,RVBD_1787,103
TKK_03_0150.annotated.vcf,RVBD_3426,102
TKK_03_0150.annotated.vcf,RVBD_3380c,88
TKK_03_0150.annotated.vcf,RVBD_3425,87
TKK_03_0150.annotated.vcf,RVBD_2407,78
TKK_03_0150.annotated.vcf,RVBD_0355c,74
TKK_03_0153.annotated.vcf,RVBD_3508,1152
TKK_03_0153.annotated.vcf,RVBD_3475,845
TKK_03_0153.annotated.vcf,RVBD_3514,812
TKK_03_0153.annotated.vcf,RVBD_3380c,751
TKK_03_0153.annotated.vcf,RVBD_3611,366
TKK_03_0153.annotated.vcf,RVBD_3381c,299
TKK_03_0153.annotated.vcf,RVBD_3474,281
TKK_03_0153.annotated.vcf,RVBD_3511,192
TKK_03_0153.annotated.vcf,RVBD_2082,141
TKK_03_0153.annotated.vcf,RVBD_0978c,85
TKK_03_0153.annotated.vcf,RVBD_2407,79
TKK_03_0153.annotated.vcf,RVBD_0980c,79
TKK_03_0153.annotated.vcf,RVBD_0355c,74
TKK_03_0153.annotated.vcf,RVBD_3343c,72
TKK_03_0153.annotated.vcf,RVBD_0279c,50
TKK_03_0153.annotated.vcf,RVBD_0029,40
TKK_03_0153.annotated.vcf,RVBD_1928c,33
TKK_03_0153.annotated.vcf,RVBD_1087,32
TKK_03_0153.annotated.vcf,RVBD_0578c,24
TKK_03_0153.annotated.vcf,RVBD_3879c,21
TKK_03_0153.annotated.vcf,RVBD_1441c,20
TKK_03_0153.annotated.vcf,RVBD_1587c,16
TKK_03_0153.annotated.vcf,RVBD_3326,15
TKK_03_0153.annotated.vcf,RVBD_2931,15
TKK_03_0153.annotated.vcf,RVBD_2353c,14
TKK_03_0153.annotated.vcf,RVBD_0834c,12
TKK_03_0153.annotated.vcf,RVBD_3507,10
TKK_03_0153.annotated.vcf,RVBD_2850c,9
TKK_03_0153.annotated.vcf,RVBD_1198,8
TKK_03_0153.annotated.vcf,RVBD_3347c,8
TKK_03_0154.annotated.vcf,RVBD_3475,885
TKK_03_0154.annotated.vcf,RVBD_3380c,885
TKK_03_0154.annotated.vcf,RVBD_2167c,885
TKK_03_0154.annotated.vcf,RVBD_2279,885
TKK_03_0154.annotated.vcf,RVBD_2649,885
TKK_03_0154.annotated.vcf,RVBD_2479c,881
TKK_03_0154.annotated.vcf,RVBD_3326,876
TKK_03_0154.annotated.vcf,RVBD_3514,618
TKK_03_0154.annotated.vcf,RVBD_1452c,589
TKK_03_0154.annotated.vcf,RVBD_1450c,526
TKK_03_0154.annotated.vcf,RVBD_3508,513
TKK_03_0154.annotated.vcf,RVBD_3511,479
TKK_03_0154.annotated.vcf,RVBD_3611,364
TKK_03_0154.annotated.vcf,RVBD_2480c,327
TKK_03_0154.annotated.vcf,RVBD_2278,327
TKK_03_0154.annotated.vcf,RVBD_3381c,327
TKK_03_0154.annotated.vcf,RVBD_3474,327
TKK_03_0154.annotated.vcf,RVBD_2168c,327
TKK_03_0154.annotated.vcf,RVBD_2648,327
TKK_03_0154.annotated.vcf,RVBD_3325,322
TKK_03_0154.annotated.vcf,RVBD_2544,268
TKK_03_0154.annotated.vcf,RVBD_2543,245
TKK_03_0154.annotated.vcf,RVBD_0355c,239
TKK_03_0154.annotated.vcf,RVBD_1730c,221
TKK_03_0154.annotated.vcf,RVBD_0578c,193
TKK_03_0154.annotated.vcf,RVBD_0978c,192
TKK_03_0154.annotated.vcf,RVBD_1753c,187
TKK_03_0154.annotated.vcf,RVBD_1135c,160
TKK_03_0154.annotated.vcf,RVBD_0747,148
TKK_03_0154.annotated.vcf,RVBD_0090,135
TKK_03_0156.annotated.vcf,RVBD_2479c,885
TKK_03_0156.annotated.vcf,RVBD_2167c,885
TKK_03_0156.annotated.vcf,RVBD_2279,885
TKK_03_0156.annotated.vcf,RVBD_2649,885
TKK_03_0156.annotated.vcf,RVBD_1764,881
TKK_03_0156.annotated.vcf,RVBD_3514,865
TKK_03_0156.annotated.vcf,RVBD_1917c,516
TKK_03_0156.annotated.vcf,RVBD_3508,491
TKK_03_0156.annotated.vcf,RVBD_3511,485
TKK_03_0156.annotated.vcf,RVBD_2544,367
TKK_03_0156.annotated.vcf,RVBD_2480c,327
TKK_03_0156.annotated.vcf,RVBD_2278,327
TKK_03_0156.annotated.vcf,RVBD_1763,327
TKK_03_0156.annotated.vcf,RVBD_2168c,327
TKK_03_0156.annotated.vcf,RVBD_2648,327
TKK_03_0156.annotated.vcf,RVBD_1730c,223
TKK_03_0156.annotated.vcf,RVBD_0278c,200
TKK_03_0156.annotated.vcf,RVBD_1753c,188
TKK_03_0156.annotated.vcf,RVBD_1135c,160
TKK_03_0156.annotated.vcf,RVBD_2543,147
TKK_03_0156.annotated.vcf,RVBD_3345c,141
TKK_03_0156.annotated.vcf,RVBD_0747,136
TKK_03_0156.annotated.vcf,RVBD_0978c,117
TKK_03_0156.annotated.vcf,RVBD_1068c,104
TKK_03_0156.annotated.vcf,RVBD_3512,91
TKK_03_0156.annotated.vcf,RVBD_0355c,59
TKK_03_0156.annotated.vcf,RVBD_1371,41
TKK_03_0156.annotated.vcf,RVBD_1243c,39
TKK_03_0156.annotated.vcf,RVBD_3507,32
TKK_03_0156.annotated.vcf,RVBD_1907c,30
TKK_03_0158.annotated.vcf,RVBD_3508,1178
TKK_03_0158.annotated.vcf,RVBD_1369c,783
TKK_03_0158.annotated.vcf,RVBD_3326,756
TKK_03_0158.annotated.vcf,RVBD_2355,730
TKK_03_0158.annotated.vcf,RVBD_3475,711
TKK_03_0158.annotated.vcf,RVBD_1764,687
TKK_03_0158.annotated.vcf,RVBD_2167c,677
TKK_03_0158.annotated.vcf,RVBD_0796,663
TKK_03_0158.annotated.vcf,RVBD_3380c,661
TKK_03_0158.annotated.vcf,RVBD_2649,620
TKK_03_0158.annotated.vcf,RVBD_2106,500
TKK_03_0158.annotated.vcf,RVBD_3514,424
TKK_03_0158.annotated.vcf,RVBD_1756c,339
TKK_03_0158.annotated.vcf,RVBD_3611,334
TKK_03_0158.annotated.vcf,RVBD_0795,326
TKK_03_0158.annotated.vcf,RVBD_3511,265
TKK_03_0158.annotated.vcf,RVBD_1370c,260
TKK_03_0158.annotated.vcf,RVBD_2105,255
TKK_03_0158.annotated.vcf,RVBD_3325,252
TKK_03_0158.annotated.vcf,RVBD_2168c,252
TKK_03_0158.annotated.vcf,RVBD_2648,237
TKK_03_0158.annotated.vcf,RVBD_2354,214
TKK_03_0158.annotated.vcf,RVBD_1753c,211
TKK_03_0158.annotated.vcf,RVBD_3381c,179
TKK_03_0158.annotated.vcf,RVBD_3474,165
TKK_03_0158.annotated.vcf,RVBD_3512,147
TKK_03_0158.annotated.vcf,RVBD_2082,140
TKK_03_0158.annotated.vcf,RVBD_1817,127
TKK_03_0158.annotated.vcf,RVBD_1763,127
TKK_03_0158.annotated.vcf,RVBD_0094c,106
TKK_03_0159.annotated.vcf,RVBD_3475,885
TKK_03_0159.annotated.vcf,RVBD_2479c,885
TKK_03_0159.annotated.vcf,RVBD_2106,885
TKK_03_0159.annotated.vcf,RVBD_2355,885
TKK_03_0159.annotated.vcf,RVBD_1369c,879
TKK_03_0159.annotated.vcf,RVBD_1764,873
TKK_03_0159.annotated.vcf,RVBD_3508,370
TKK_03_0159.annotated.vcf,RVBD_3514,363
TKK_03_0159.annotated.vcf,RVBD_1370c,327
TKK_03_0159.annotated.vcf,RVBD_2480c,327
TKK_03_0159.annotated.vcf,RVBD_2105,327
TKK_03_0159.annotated.vcf,RVBD_2354,327
TKK_03_0159.annotated.vcf,RVBD_3474,326
TKK_03_0159.annotated.vcf,RVBD_1763,323
TKK_03_0159.annotated.vcf,RVBD_3611,199
TKK_03_0159.annotated.vcf,RVBD_3343c,185
TKK_03_0159.annotated.vcf,RVBD_0355c,130
TKK_03_0159.annotated.vcf,RVBD_0978c,117
TKK_03_0159.annotated.vcf,RVBD_1753c,112
TKK_03_0159.annotated.vcf,RVBD_2048c,106
TKK_03_0159.annotated.vcf,RVBD_1450c,87
TKK_03_0159.annotated.vcf,RVBD_1087,49
TKK_03_0159.annotated.vcf,RVBD_1758,25
TKK_03_0159.annotated.vcf,RVBD_2490c,22
TKK_03_0159.annotated.vcf,RVBD_3512,22
TKK_03_0159.annotated.vcf,RVBD_0278c,21
TKK_03_0159.annotated.vcf,RVBD_1441c,18
TKK_03_0159.annotated.vcf,RVBD_3345c,17
TKK_03_0159.annotated.vcf,RVBD_2931,14
TKK_03_0159.annotated.vcf,RVBD_2101,13
TKK_03_0160.annotated.vcf,RVBD_3475,885
TKK_03_0160.annotated.vcf,RVBD_2479c,885
TKK_03_0160.annotated.vcf,RVBD_2814c,885
TKK_03_0160.annotated.vcf,RVBD_3380c,885
TKK_03_0160.annotated.vcf,RVBD_2167c,885
TKK_03_0160.annotated.vcf,RVBD_2279,885
TKK_03_0160.annotated.vcf,RVBD_2649,885
TKK_03_0160.annotated.vcf,RVBD_3326,880
TKK_03_0160.annotated.vcf,RVBD_1764,878
TKK_03_0160.annotated.vcf,RVBD_3514,812
TKK_03_0160.annotated.vcf,RVBD_3511,483
TKK_03_0160.annotated.vcf,RVBD_1450c,480
TKK_03_0160.annotated.vcf,RVBD_3508,462
TKK_03_0160.annotated.vcf,RVBD_2480c,327
TKK_03_0160.annotated.vcf,RVBD_2278,327
TKK_03_0160.annotated.vcf,RVBD_3325,327
TKK_03_0160.annotated.vcf,RVBD_3381c,327
TKK_03_0160.annotated.vcf,RVBD_2815c,327
TKK_03_0160.annotated.vcf,RVBD_3474,327
TKK_03_0160.annotated.vcf,RVBD_2168c,327
TKK_03_0160.annotated.vcf,RVBD_2648,327
TKK_03_0160.annotated.vcf,RVBD_1763,325
TKK_03_0160.annotated.vcf,RVBD_2544,268
TKK_03_0160.annotated.vcf,RVBD_1730c,221
TKK_03_0160.annotated.vcf,RVBD_0278c,214
TKK_03_0160.annotated.vcf,RVBD_1917c,193
TKK_03_0160.annotated.vcf,RVBD_1753c,186
TKK_03_0160.annotated.vcf,RVBD_1135c,160
TKK_03_0160.annotated.vcf,RVBD_3879c,157
TKK_03_0160.annotated.vcf,RVBD_0747,148
TKK_04_0001.annotated.vcf,RVBD_1764,885
TKK_04_0001.annotated.vcf,RVBD_2479c,885
TKK_04_0001.annotated.vcf,RVBD_2814c,885
TKK_04_0001.annotated.vcf,RVBD_3380c,885
TKK_04_0001.annotated.vcf,RVBD_2167c,885
TKK_04_0001.annotated.vcf,RVBD_2279,885
TKK_04_0001.annotated.vcf,RVBD_2649,885
TKK_04_0001.annotated.vcf,RVBD_3475,884
TKK_04_0001.annotated.vcf,RVBD_3326,881
TKK_04_0001.annotated.vcf,RVBD_3514,673
TKK_04_0001.annotated.vcf,RVBD_2480c,327
TKK_04_0001.annotated.vcf,RVBD_2278,327
TKK_04_0001.annotated.vcf,RVBD_3325,327
TKK_04_0001.annotated.vcf,RVBD_3381c,327
TKK_04_0001.annotated.vcf,RVBD_2815c,327
TKK_04_0001.annotated.vcf,RVBD_3474,327
TKK_04_0001.annotated.vcf,RVBD_2168c,327
TKK_04_0001.annotated.vcf,RVBD_2648,327
TKK_04_0001.annotated.vcf,RVBD_1763,324
TKK_04_0001.annotated.vcf,RVBD_1452c,307
TKK_04_0001.annotated.vcf,RVBD_2544,305
TKK_04_0001.annotated.vcf,RVBD_3511,225
TKK_04_0001.annotated.vcf,RVBD_1730c,223
TKK_04_0001.annotated.vcf,RVBD_0279c,219
TKK_04_0001.annotated.vcf,RVBD_1917c,208
TKK_04_0001.annotated.vcf,RVBD_1450c,166
TKK_04_0001.annotated.vcf,RVBD_1135c,160
TKK_04_0001.annotated.vcf,RVBD_3879c,157
TKK_04_0001.annotated.vcf,RVBD_0278c,154
TKK_04_0001.annotated.vcf,RVBD_0095c,123
TKK_04_0002.annotated.vcf,RVBD_2479c,880
TKK_04_0002.annotated.vcf,RVBD_2649,880
TKK_04_0002.annotated.vcf,RVBD_3508,645
TKK_04_0002.annotated.vcf,RVBD_3514,522
TKK_04_0002.annotated.vcf,RVBD_2480c,327
TKK_04_0002.annotated.vcf,RVBD_2648,327
TKK_04_0002.annotated.vcf,RVBD_3512,109
TKK_04_0002.annotated.vcf,RVBD_3511,74
TKK_04_0002.annotated.vcf,RVBD_0755c,31
TKK_04_0002.annotated.vcf,RVBD_0279c,20
TKK_04_0002.annotated.vcf,RVBD_2931,15
TKK_04_0002.annotated.vcf,RVBD_2450c,13
TKK_04_0002.annotated.vcf,RVBD_1587c,12
TKK_04_0002.annotated.vcf,RVBD_3350c,12
TKK_04_0002.annotated.vcf,RVBD_2330c,10
TKK_04_0002.annotated.vcf,RVBD_1917c,9
TKK_04_0002.annotated.vcf,RVBD_1755c,7
TKK_04_0002.annotated.vcf,RVBD_1197,6
TKK_04_0002.annotated.vcf,RVBD_1452c,6
TKK_04_0002.annotated.vcf,RVBD_0277Ac,5
TKK_04_0002.annotated.vcf,RVBD_0277c,4
TKK_04_0002.annotated.vcf,RVBD_1758,4
TKK_04_0002.annotated.vcf,RVBD_0976c,4
TKK_04_0002.annotated.vcf,RVBD_3466,4
TKK_04_0002.annotated.vcf,RVBD_3382c,4
TKK_04_0002.annotated.vcf,RVBD_1198,4
TKK_04_0002.annotated.vcf,RVBD_1320c,3
TKK_04_0002.annotated.vcf,RVBD_3343c,3
TKK_04_0002.annotated.vcf,RVBD_1739c,3
TKK_04_0002.annotated.vcf,RVBD_2262c,3
TKK_04_0003.annotated.vcf,RVBD_1764,849
TKK_04_0003.annotated.vcf,RVBD_2479c,786
TKK_04_0003.annotated.vcf,RVBD_2279,726
TKK_04_0003.annotated.vcf,RVBD_3380c,716
TKK_04_0003.annotated.vcf,RVBD_3326,677
TKK_04_0003.annotated.vcf,RVBD_0796,672
TKK_04_0003.annotated.vcf,RVBD_2649,672
TKK_04_0003.annotated.vcf,RVBD_1369c,670
TKK_04_0003.annotated.vcf,RVBD_3475,662
TKK_04_0003.annotated.vcf,RVBD_1756c,598
TKK_04_0003.annotated.vcf,RVBD_3508,365
TKK_04_0003.annotated.vcf,RVBD_1452c,345
TKK_04_0003.annotated.vcf,RVBD_1087,338
TKK_04_0003.annotated.vcf,RVBD_1763,319
TKK_04_0003.annotated.vcf,RVBD_2480c,318
TKK_04_0003.annotated.vcf,RVBD_2648,309
TKK_04_0003.annotated.vcf,RVBD_0795,307
TKK_04_0003.annotated.vcf,RVBD_1757c,306
TKK_04_0003.annotated.vcf,RVBD_2168c,302
TKK_04_0003.annotated.vcf,RVBD_3474,300
TKK_04_0003.annotated.vcf,RVBD_1370c,299
TKK_04_0003.annotated.vcf,RVBD_3325,293
TKK_04_0003.annotated.vcf,RVBD_3381c,290
TKK_04_0003.annotated.vcf,RVBD_2278,275
TKK_04_0003.annotated.vcf,RVBD_1068c,164
TKK_04_0003.annotated.vcf,RVBD_3511,143
TKK_04_0003.annotated.vcf,RVBD_0355c,141
TKK_04_0003.annotated.vcf,RVBD_3425,127
TKK_04_0003.annotated.vcf,RVBD_1067c,114
TKK_04_0003.annotated.vcf,RVBD_1917c,106
TKK_04_0005.annotated.vcf,RVBD_2106,885
TKK_04_0005.annotated.vcf,RVBD_1764,882
TKK_04_0005.annotated.vcf,RVBD_2649,879
TKK_04_0005.annotated.vcf,RVBD_3475,873
TKK_04_0005.annotated.vcf,RVBD_2479c,868
TKK_04_0005.annotated.vcf,RVBD_1369c,852
TKK_04_0005.annotated.vcf,RVBD_1756c,844
TKK_04_0005.annotated.vcf,RVBD_2279,819
TKK_04_0005.annotated.vcf,RVBD_1917c,620
TKK_04_0005.annotated.vcf,RVBD_3508,617
TKK_04_0005.annotated.vcf,RVBD_3514,513
TKK_04_0005.annotated.vcf,RVBD_2278,327
TKK_04_0005.annotated.vcf,RVBD_3474,327
TKK_04_0005.annotated.vcf,RVBD_1763,327
TKK_04_0005.annotated.vcf,RVBD_2648,327
TKK_04_0005.annotated.vcf,RVBD_1757c,325
TKK_04_0005.annotated.vcf,RVBD_2480c,325
TKK_04_0005.annotated.vcf,RVBD_1370c,325
TKK_04_0005.annotated.vcf,RVBD_2105,322
TKK_04_0005.annotated.vcf,RVBD_0797,261
TKK_04_0005.annotated.vcf,RVBD_0094c,190
TKK_04_0005.annotated.vcf,RVBD_1945,149
TKK_04_0005.annotated.vcf,RVBD_0355c,141
TKK_04_0005.annotated.vcf,RVBD_3425,131
TKK_04_0005.annotated.vcf,RVBD_1450c,130
TKK_04_0005.annotated.vcf,RVBD_1068c,121
TKK_04_0005.annotated.vcf,RVBD_0746,110
TKK_04_0005.annotated.vcf,RVBD_1087,109
TKK_04_0005.annotated.vcf,RVBD_1288,93
TKK_04_0005.annotated.vcf,RVBD_3345c,88
TKK_04_0006.annotated.vcf,RVBD_1764,885
TKK_04_0006.annotated.vcf,RVBD_2814c,885
TKK_04_0006.annotated.vcf,RVBD_2167c,885
TKK_04_0006.annotated.vcf,RVBD_2649,885
TKK_04_0006.annotated.vcf,RVBD_3508,471
TKK_04_0006.annotated.vcf,RVBD_2815c,327
TKK_04_0006.annotated.vcf,RVBD_1763,327
TKK_04_0006.annotated.vcf,RVBD_2168c,327
TKK_04_0006.annotated.vcf,RVBD_2648,327
TKK_04_0006.annotated.vcf,RVBD_2544,305
TKK_04_0006.annotated.vcf,RVBD_3514,253
TKK_04_0006.annotated.vcf,RVBD_0278c,248
TKK_04_0006.annotated.vcf,RVBD_1730c,223
TKK_04_0006.annotated.vcf,RVBD_3511,220
TKK_04_0006.annotated.vcf,RVBD_1753c,186
TKK_04_0006.annotated.vcf,RVBD_1135c,160
TKK_04_0006.annotated.vcf,RVBD_2615c,137
TKK_04_0006.annotated.vcf,RVBD_1917c,134
TKK_04_0006.annotated.vcf,RVBD_0090,134
TKK_04_0006.annotated.vcf,RVBD_0095c,108
TKK_04_0006.annotated.vcf,RVBD_1450c,105
TKK_04_0006.annotated.vcf,RVBD_0747,101
TKK_04_0006.annotated.vcf,RVBD_2543,85
TKK_04_0006.annotated.vcf,RVBD_1045,73
TKK_04_0006.annotated.vcf,RVBD_0355c,62
TKK_04_0006.annotated.vcf,RVBD_0045c,43
TKK_04_0006.annotated.vcf,RVBD_3344c,33
TKK_04_0006.annotated.vcf,RVBD_1243c,31
TKK_04_0006.annotated.vcf,RVBD_1907c,30
TKK_04_0006.annotated.vcf,RVBD_0279c,26
TKK_04_0007.annotated.vcf,RVBD_1765c,1016
TKK_04_0007.annotated.vcf,RVBD_1764,885
TKK_04_0007.annotated.vcf,RVBD_1756c,885
TKK_04_0007.annotated.vcf,RVBD_3326,885
TKK_04_0007.annotated.vcf,RVBD_0796,885
TKK_04_0007.annotated.vcf,RVBD_3475,885
TKK_04_0007.annotated.vcf,RVBD_2167c,885
TKK_04_0007.annotated.vcf,RVBD_3380c,881
TKK_04_0007.annotated.vcf,RVBD_2479c,879
TKK_04_0007.annotated.vcf,RVBD_2106,878
TKK_04_0007.annotated.vcf,RVBD_2649,878
TKK_04_0007.annotated.vcf,RVBD_1369c,876
TKK_04_0007.annotated.vcf,RVBD_2355,874
TKK_04_0007.annotated.vcf,RVBD_2279,872
TKK_04_0007.annotated.vcf,RVBD_3508,717
TKK_04_0007.annotated.vcf,RVBD_2354,327
TKK_04_0007.annotated.vcf,RVBD_2278,327
TKK_04_0007.annotated.vcf,RVBD_3325,327
TKK_04_0007.annotated.vcf,RVBD_1757c,327
TKK_04_0007.annotated.vcf,RVBD_2105,327
TKK_04_0007.annotated.vcf,RVBD_3381c,327
TKK_04_0007.annotated.vcf,RVBD_0795,327
TKK_04_0007.annotated.vcf,RVBD_2168c,327
TKK_04_0007.annotated.vcf,RVBD_2648,327
TKK_04_0007.annotated.vcf,RVBD_2480c,326
TKK_04_0007.annotated.vcf,RVBD_3474,325
TKK_04_0007.annotated.vcf,RVBD_1370c,324
TKK_04_0007.annotated.vcf,RVBD_1763,323
TKK_04_0007.annotated.vcf,RVBD_3514,297
TKK_04_0007.annotated.vcf,RVBD_1753c,210
TKK_04_0008.annotated.vcf,RVBD_1765c,1009
TKK_04_0008.annotated.vcf,RVBD_3475,885
TKK_04_0008.annotated.vcf,RVBD_1756c,885
TKK_04_0008.annotated.vcf,RVBD_2479c,885
TKK_04_0008.annotated.vcf,RVBD_3326,885
TKK_04_0008.annotated.vcf,RVBD_2355,885
TKK_04_0008.annotated.vcf,RVBD_2167c,885
TKK_04_0008.annotated.vcf,RVBD_2649,885
TKK_04_0008.annotated.vcf,RVBD_2279,883
TKK_04_0008.annotated.vcf,RVBD_1764,882
TKK_04_0008.annotated.vcf,RVBD_3380c,878
TKK_04_0008.annotated.vcf,RVBD_2106,877
TKK_04_0008.annotated.vcf,RVBD_1369c,860
